stage|lat|lon|ele|dist
stage-01|43.06103|0.152|565.0|0.0
stage-01|43.06065|0.1537|561.0|0.1489110735225296
stage-01|43.06073|0.15388|561.0|0.17722284735524813
stage-01|43.06106|0.1548|559.0|0.2613928457046966
stage-01|43.06367|0.15351|554.0|0.571817677521077
stage-01|43.06601|0.15251|548.0|0.8544826952028863
stage-01|43.06683|0.15336|550.0|0.9697276932445632
stage-01|43.06997|0.15645|545.0|1.3997593955067604
stage-01|43.07009|0.15663|545.0|1.4239474696059136
stage-01|43.07271|0.15907|558.0|1.7804155962433552
stage-01|43.07356|0.15888|563.0|1.8778902138532736
stage-01|43.07442|0.15921|579.0|1.9778561030688016
stage-01|43.07508|0.15906|584.0|2.0535147403948253
stage-01|43.0757|0.15865|580.0|2.133480696622799
stage-01|43.07599|0.15941|589.0|2.2113505861919753
stage-01|43.07632|0.16008|595.0|2.281267737752494
stage-01|43.0772|0.16057|598.0|2.388198601091008
stage-01|43.07919|0.16258|619.0|2.6656332862828562
stage-01|43.08065|0.1642|635.0|2.8754485717100033
stage-01|43.08156|0.16413|641.0|2.9821279457087346
stage-01|43.08256|0.16526|643.0|3.129659662802252
stage-01|43.08992|0.17644|616.0|4.352877379835068
stage-01|43.09398|0.18595|547.0|5.247413588688979
stage-01|43.09884|0.19008|566.0|5.8919473943630924
stage-01|43.10283|0.19381|565.0|6.4291329703137166
stage-01|43.10929|0.1998|578.0|7.296623121127681
stage-01|43.11091|0.20149|585.0|7.523351447047097
stage-01|43.11097|0.20178|584.0|7.550548205330758
stage-01|43.11073|0.20276|583.0|7.6369128121308805
stage-01|43.11251|0.21304|549.0|8.494577345347158
stage-01|43.11319|0.21645|535.0|8.783642493044947
stage-01|43.11316|0.21906|523.0|8.996349459224275
stage-01|43.11447|0.22018|521.0|9.170826896425941
stage-01|43.11513|0.22145|517.0|9.29908485391046
stage-01|43.11589|0.22267|517.0|9.433425142604705
stage-01|43.11539|0.22407|508.0|9.561884638546905
stage-01|43.11523|0.22658|508.0|9.768257395498562
stage-01|43.11482|0.2287|498.0|9.947406928335859
stage-01|43.115|0.22944|499.0|10.016387526012386
stage-01|43.11602|0.22915|501.0|10.134418800181528
stage-01|43.11687|0.22909|502.0|10.232068231907062
stage-01|43.11777|0.23049|494.0|10.389019794934333
stage-01|43.11787|0.23121|493.0|10.45002277045193
stage-01|43.11762|0.23246|483.0|10.557867726244421
stage-01|43.11768|0.23363|479.0|10.65477864425172
stage-01|43.11743|0.23478|476.0|10.753575372912351
stage-01|43.11648|0.2351|461.0|10.870048327878239
stage-01|43.1157|0.2354|449.0|10.961339797074867
stage-01|43.11489|0.23674|438.0|11.103709361275033
stage-01|43.1136|0.23786|429.0|11.276260506311749
stage-01|43.11218|0.23933|416.0|11.475541382080156
stage-01|43.1115|0.24061|410.0|11.606290766039825
stage-01|43.11097|0.24238|398.0|11.76504444645086
stage-01|43.11064|0.24466|382.0|11.97200481013804
stage-01|43.11007|0.2465|366.0|12.138190656626447
stage-01|43.10956|0.24934|347.0|12.379996429977759
stage-01|43.10981|0.25165|323.0|12.573576620312023
stage-01|43.10974|0.25387|317.0|12.753982118642984
stage-01|43.10983|0.26078|310.0|13.316663195976018
stage-01|43.10995|0.2634|327.0|13.530758337780767
stage-01|43.1088|0.26403|331.0|13.668971339381365
stage-01|43.10839|0.26525|339.0|13.780758658876856
stage-01|43.10791|0.2674|350.0|13.966618120920435
stage-01|43.10816|0.2678|354.0|14.022359520071344
stage-01|43.10926|0.26676|365.0|14.174337224452984
stage-01|43.10994|0.26654|373.0|14.263894082356382
stage-01|43.10982|0.2686|385.0|14.43352642812902
stage-01|43.11027|0.26928|387.0|14.511780563152543
stage-01|43.11138|0.26883|403.0|14.644013488962175
stage-01|43.11291|0.26859|410.0|14.81616199455228
stage-01|43.11451|0.26986|426.0|15.030947699009134
stage-01|43.11565|0.27088|435.0|15.184694991054792
stage-01|43.11607|0.27239|446.0|15.319056603535486
stage-01|43.11642|0.27493|466.0|15.534178245366029
stage-01|43.1172|0.27633|487.0|15.677920456503749
stage-01|43.11682|0.27743|485.0|15.777726357250273
stage-01|43.11644|0.2777|489.0|15.829288985368082
stage-01|43.11518|0.27694|484.0|15.984807384356552
stage-01|43.11503|0.27733|486.0|16.023746272268447
stage-01|43.11576|0.27817|496.0|16.134340730463506
stage-01|43.11652|0.27978|508.0|16.290818276097674
stage-01|43.11698|0.28021|509.0|16.355297167014463
stage-01|43.11652|0.28117|504.0|16.450340051430874
stage-01|43.11551|0.2824|512.0|16.602132731460195
stage-01|43.11511|0.28358|513.0|16.708342309579773
stage-01|43.11446|0.2857|504.0|16.898495739980817
stage-01|43.11354|0.28759|500.0|17.08490926371879
stage-01|43.11368|0.29157|506.0|17.41024099926504
stage-01|43.11337|0.29508|529.0|17.70024353641067
stage-01|43.11267|0.29666|531.0|17.851882076608963
stage-01|43.11098|0.2976|540.0|18.05516730773205
stage-01|43.10612|0.30456|585.0|18.839288483252435
stage-01|43.10389|0.30998|598.0|19.344878444242106
stage-01|43.10348|0.31054|602.0|19.40985721208929
stage-01|43.10221|0.31673|616.0|19.934354619466543
stage-01|43.1051|0.32315|602.0|20.549843309419337
stage-01|43.10545|0.32418|597.0|20.648219404481107
stage-01|43.10533|0.32534|597.0|20.74943872680929
stage-01|43.10458|0.32743|599.0|20.938868739478146
stage-01|43.10404|0.32785|599.0|21.012744030894677
stage-01|43.10089|0.32738|609.0|21.367240378574444
stage-01|43.09684|0.33053|621.0|21.8856446388452
stage-01|43.08747|0.3384|642.0|23.111385001109422
stage-01|43.08055|0.3536|662.0|24.56615129273037
stage-01|43.08018|0.35724|657.0|24.86837907233822
stage-01|43.06715|0.35802|662.0|26.318649341411874
stage-01|43.06461|0.35884|659.0|26.609365797559096
stage-01|43.05848|0.3601|658.0|27.300842423419926
stage-01|43.05581|0.35932|663.0|27.605676516379848
stage-01|43.05041|0.35863|678.0|28.209348233269626
stage-01|43.05011|0.35689|667.0|28.38429600606732
stage-01|43.04918|0.35419|660.0|28.634436291030838
stage-01|43.04867|0.35264|657.0|28.775397839209145
stage-01|43.04836|0.35179|655.0|28.853854985039774
stage-01|43.04771|0.35187|646.0|28.929037768287582
stage-01|43.04696|0.34951|645.0|29.14078671046933
stage-01|43.04688|0.34852|649.0|29.222284401418747
stage-01|43.04785|0.34482|657.0|29.542735456649563
stage-01|43.0474|0.34426|657.0|29.61684280171106
stage-01|43.04618|0.34402|671.0|29.76030490128703
stage-01|43.04644|0.34318|665.0|29.838052777477966
stage-01|43.04642|0.34232|667.0|29.911503250552293
stage-01|43.04536|0.34102|668.0|30.07237316706665
stage-01|43.04327|0.3401|662.0|30.31776702299684
